"Въпрос";"Отговор"
"Какви са характеристиките на SQL?";"Лекция 4: 1) Интегриран език, съдържащ DDL и DML 2) Може да се вгражда в език за програмиране 3) Разработени са стандарти SQL2 (SQL'92) и SQL3 4) Допълнителни стандарти SQL:2003, SQL:2008, SQL:2011 5) Последна версия на стандарта е от 2016 г."
"Какво означава DDL в контекста на SQL?";"Лекция 4: Език за дефиниране на данните (Data Definition Language)"
"Какво означава DML в контекста на SQL?";"Лекция 4: Език за обработка на данните (Data Manipulation Language)"
"Какви термини използва SQL вместо релационните термини?";"Лекция 4: SQL използва 'таблица', 'редица' и 'колона' съответно за 'релация', 'кортеж' и 'атрибут'"
"Какво е среда (environment) в SQL?";"Лекция 4: Съдържа единствена база"
"Какво е схема (schema) в SQL?";"Лекция 4: Състои се от една или няколко таблици, потребителски представи (view) и права (privileges), принадлежащи на даден потребител"
"Какво е каталог (Information Schema) в SQL?";"Лекция 4: Именувано множество на схемите в дадена среда"
"Какво е пространство на базата (dbspace)?";"Лекция 4: Логическо заделяне на място за базата, което е част от общото пространство; всеки потребител има достъп до поне едно такова пространство"
"Кой е единственият оператор в SQL за извличане на данни?";"Лекция 4: SELECT"
"Допуска ли SQL съществуването на два напълно идентични реда в таблица?";"Лекция 4: Да, за разлика от формалния релационен модел"
"Какъв е основният елемент на езика SQL?";"Лекция 4: SELECT <списък от колони> FROM <списък от таблици> WHERE <условие>"
"Какви условия могат да се задават след оператора WHERE?";"Лекция 4: Условия за избор (например Dname = 'Research') и условия за съединение (например Dnumber = Dno)"
"Какво се случва когато WHERE липсва в SQL заявка?";"Лекция 4: Безусловен избор на всички редове"
"Какво се случва при изпуснато условие за съединение?";"Лекция 4: Получава се декартово произведение"
"Какво означава символът * в SQL?";"Лекция 4: Всички колони"
"Коя множествена операция се реализира в SQL?";"Лекция 4: Обединение (UNION); в някои версии се реализират и сечение и разлика"
"Съдържа ли резултатната таблица от UNION дублирани редове?";"Лекция 4: Не, резултатната таблица не съдържа дублирани редове"
"За какво служи операторът LIKE в SQL?";"Лекция 4: За сравняване на части от даден низ или за търсене на определен подниз"
"Какви запазени символи се използват с оператора LIKE?";"Лекция 4: '%' (заменя произволен брой символи) и '_' (заменя точно един символ)"
"Какви агрегатни функции са предвидени в SQL?";"Лекция 4: COUNT, SUM, MIN, MAX, AVG"
"Върху какво се прилагат агрегатните функции в SQL?";"Лекция 4: Само върху единствена колона"
"Кои агрегатни функции могат да се прилагат върху числови и нечислови полета?";"Лекция 4: COUNT, MIN и MAX"
"Кои агрегатни функции се прилагат само върху числови полета?";"Лекция 4: SUM и AVG"
