"Въпрос";"Отговор"
"Какви са двете основни дейности при проектиране на бази от данни?";"Лекция 6: 1) Проектиране на схемата на базата 2) Проектиране на приложните програми"
"Какви са целите на концептуалното моделиране?";"Лекция 6: 1) Да се създаде концептуална схема, която да отразява потребителски изисквания 2) Използва се някакъв концептуален модел - например модел 'понятие-взаимодействие' или E-R модел"
"Какво е концептуален модел?";"Лекция 6: Множеството от понятия, с които се описва структурата на разработваната база от данни и свързаните с нея транзакции"
"Каква е главната цел при разработването на концептуален модел?";"Лекция 6: Да се отрази възможно най-добре потребителското възприемане на данните, като същевременно се пренебрегва разглеждането на чисто технически аспекти"
"От какво е независим концептуалният модел?";"Лекция 6: От избраната СУБД или хардуерна платформа"
"Какъв друг термин се използва за концептуално моделиране?";"Лекция 6: Семантично моделиране"
"Какво е обект (entity) в модела на Чен?";"Лекция 6: Произволен елемент от реалния свят, за който се пазят данни в базата; 'нещо, което може да се отличи и идентифицира'"
"Какви видове обекти има?";"Лекция 6: Физически (МПС, човек, служител, студент) и концептуални/абстрактни (предприятие, университетски курс, банкова сметка)"
"Какво са атрибути (attributes)?";"Лекция 6: Свойства (properties), които описват характеристиките на обекта"
"Какво има всеки атрибут за конкретния обект?";"Лекция 6: Стойност, която се съхранява в базата от данни"
"Какво са прости (simple) атрибути?";"Лекция 6: Неделими атрибути, изградени от единствен компонент, който приема една атомарна стойност"
"Какво са съставни (composite) атрибути?";"Лекция 6: Атрибути, изградени от други атрибути, всеки от които има независимо значение; могат да образуват йерархия"
"Какво са едностойностни (single-valued) атрибути?";"Лекция 6: Атрибути, които приемат единствена стойност за даден обект"
"Какво са многостойностни (multi-valued) атрибути?";"Лекция 6: Атрибути, които могат да приемат множество от стойности; могат да имат долна и горна граница на стойностите"
"Какво е изчислим (derived) атрибут?";"Лекция 6: Атрибут, чиято стойност може да се пресметне от стойностите на други атрибути"
"Какво е съхраняван (stored) атрибут?";"Лекция 6: Атрибут, чиито стойности се записват директно в базата"
"Какво е тип на обект?";"Лекция 6: Множество от обекти с еднакви атрибути"
"От какво се описва всеки тип на обект?";"Лекция 6: От име и списък от атрибути"
"Какво е типът на обект според определението?";"Лекция 6: Шаблон, еднакъв за група от обекти със сходни характеристики"
"Как се представя типът на обект диаграмно?";"Лекция 6: Чрез правоъгълник"
"Какво притежава всеки тип на обект?";"Лекция 6: Ключ за идентифициране на отделните обекти"
"Как се бележи ключът в E-R диаграмите?";"Лекция 6: Ключът е подчертан"
"Какво е съставен ключ?";"Лекция 6: Ключ, изграден от няколко атрибута, като комбинациите от техните стойности са уникални"
"Какво означава определянето на атрибут за ключ?";"Лекция 6: Че той приема различни стойности за произволно разширение на типа"
"Какво представлява тип на връзка?";"Лекция 6: Отношение помежду си на екземпляри, което моделира взаимодействието им в реалния свят"
"Как се представя типът връзка в диаграмите?";"Лекция 6: Чрез ромб"
"Какво е степен на типа връзка?";"Лекция 6: Броят на участвуващите в нея типове обекти"
"Какви могат да бъдат връзките според степента?";"Лекция 6: Рекурсивни, двоични, троични и т.н."
"Кога се налага да се въведат роли (roles)?";"Лекция 6: При рекурсивните връзки"
"Какво отразяват ролите?";"Лекция 6: Взаимодействия между екземплярите на един и същ тип обект"
"Какво характеризира слабите типове обекти?";"Лекция 6: Не притежават ключов атрибут"
"Как се идентифицират екземплярите на слаби типове обекти?";"Лекция 6: Чрез свързването им с екземплярите на друг тип обект посредством стойностите на даден атрибут"
"От какво зависи съществуването на слабите типове обекти?";"Лекция 6: От съществуването или наличието на други типове обекти, свързани с тях"
"Как се представят слабите типове обекти на диаграмите?";"Лекция 6: Чрез правоъгълник с двойна линия, а идентифициращата ги връзка - с двойно очертан ромб"
"Какво са структурни ограничения?";"Лекция 6: Ограничения върху типовете връзки"
"Какво ограничават структурните ограничения?";"Лекция 6: Възможни комбинации на обекти в отделните състояния на типовете връзки"
"От какво зависят структурните ограничения?";"Лекция 6: От спецификата на приложението и моделираните ситуации в реалния свят"
"Какви са двата основни типа ограничения върху връзките?";"Лекция 6: 1) Кардинално число или отношение за двоични връзки 2) Ограничение за участие върху всеки тип обект"
"Какво задава кардиналното число?";"Лекция 6: Броя на състоянията на връзката, в които даден обект може да участвува"
"Какво кардинално отношение могат да бъдат двоичните връзки?";"Лекция 6: 1:1, 1:N и M:N"
"Какво определя ограничението за участие?";"Лекция 6: Дали съществуването на един тип обект зависи от това, че е свързан с друг тип обект чрез някакъв тип връзка"
"Какви видове ограничение за участие има?";"Лекция 6: Общо (тотално) и частично"
"Какво означава общо (тотално) ограничение за участие?";"Лекция 6: Всеки представител на даден тип обект участвува в някакво състояние на определен тип връзка"
"Как се бележи на диаграмите тоталното ограничение за участие?";"Лекция 6: С двойна линия"
"Какво означава частично ограничение за участие?";"Лекция 6: Само някои представители на даден тип обект участвува в състоянията на определен тип връзка"
"Как се бележи на диаграмите частичното ограничение за участие?";"Лекция 6: С единична линия"
"Какво е пример за тотално ограничение за участие?";"Лекция 6: Участието на екземплярите на типа обект 'СЛУЖИТЕЛ' в типа връзка 'РАБОТИ-ЗА' е тотално - всеки служител е зачислен към някакъв отдел"
"Какво е пример за частично ограничение за участие?";"Лекция 6: Участието на обекта 'СЛУЖИТЕЛ' във връзката 'УПРАВЛЯВА' е частично - само някои от служителите са ръководители"
"Защо концептуалният модел е независим от СУБД?";"Лекция 6: С цел да се отрази потребителското възприемане, без да се обвързва с конкретна технология"
"Какво е E-R моделът?";"Лекция 6: Entity-Relationship модел (модел 'понятие-взаимодействие') - концептуален модел за проектиране на бази от данни"
"Защо стойността на съставен атрибут е конкатенация?";"Лекция 6: Защото е конкатенация от стойностите на изграждащите го атрибути"
"Какъв е пример за изчислим атрибут?";"Лекция 6: Възраст може да се изчисли от Рождена дата или ЕГН"
"Какъв е пример за съхраняван атрибут?";"Лекция 6: ЕГН - стойността се записва директно в базата"
"Защо ключовете са уникални за екземплярите?";"Лекция 6: Защото комбинациите от техните стойности са уникални за съответните екземпляри"
"Колко ключа може да притежава даден тип обект?";"Лекция 6: Някои типове обекти притежават повече от един ключ"
"Какво моделира състоянието на типа връзка?";"Лекция 6: Факта, че екземплярите са в някакво отношение помежду си в реалния свят"
