"Въпрос";"Отговор"
"Кой е създателят на релационния модел и кога?";"Лекция 3: Код (E.F. Codd) от IBM Research през 1970 година"
"Коя е главната структура за моделиране на данните в релационния модел?";"Лекция 3: Релация (таблица)"
"Как се представя базата от данни в релационния модел?";"Лекция 3: Като множество от релации"
"Какво се нарича кортеж в релационния модел?";"Лекция 3: Ред в отношението, който представя факти за обект или връзка"
"Какво се нарича атрибут в релационния модел?";"Лекция 3: Име на колона в отношението"
"Какво е домейн в релационния модел?";"Лекция 3: Произволно множество от неделими стойности, има тип на данните или формат на данните"
"Какво е релационна схема?";"Лекция 3: Крайно множество от имена на атрибути"
"Какво е степен на отношението?";"Лекция 3: Броят на атрибутите в отношението"
"Какво е мощност на отношението?";"Лекция 3: Броят на кортежите в отношението"
"Какви са свойствата на отношението?";"Лекция 3: 1) Стойностите в кортежа са атомарни 2) Всяко отношение носи уникално име 3) Всеки атрибут носи уникално име в рамките на дадено отношение 4) Стойностите на даден атрибут принадлежат на един и същ домейн 5) Отношението не съдържа идентични кортежи"
"Защо стойностите в кортежа трябва да са атомарни?";"Лекция 3: Не съществуват сложни атрибути или многостойностни атрибути - това е основно свойство на релационния модел"
"Каква е основната структура за представяне на данните в релационния модел?";"Лекция 3: Отношението е основна и единствена структура"
"Какви видове релационни ограничения има?";"Лекция 3: 1) Ограничения върху ключа 2) Ограничения за цялостност на обекта 3) Ограничения за цялостност на връзките 4) Ограничения върху домейните 5) Ограничения за идентитет на кортежите"
"Какво е суперключ?";"Лекция 3: Подмножество от няколко атрибута, които заедно правят уникален ключ; има излишество по отношение на изграждащите го атрибути"
"Какво означава ограничението за цялостност на обекта?";"Лекция 3: Ключът не може да приема стойности Null"
"Между колко отношения се задават ограниченията за цялостност на връзките?";"Лекция 3: Между две отношения"
"За какво служат ограниченията за цялостност на връзките?";"Лекция 3: Използват се за поддържането на непротиворечиви данни между кортежите"
"Какво е чужд ключ?";"Лекция 3: Неформално - чуждият ключ в една таблица е главен ключ на друга таблица"
"Какви операции за обновяване на базата съществуват?";"Лекция 3: 1) Въвеждане на кортеж (INSERT) 2) Изтриване на кортеж (DELETE) 3) Актуализиране на кортеж (UPDATE)"
