"Въпрос";"Отговор"
"Какви подходи при проектиране на релационна база от данни съществуват?";"Лекция 7: 1) Отгоре-надолу 2) Релационен синтез (отдолу-нагоре)"
"Кога се използва подходът 'отгоре-надолу'?";"Лекция 7: При проектирането на търговски приложения от тип 'база от данни'"
"Какви са стъпките в подхода 'отгоре-надолу'?";"Лекция 7: 1) Проектиране на концептуална схема с модел от високо ниво (E-R модел) 2) Изобразяване в множество от отношения 3) Анализ с функционални зависимости 4) Нормализация до 3NF"
"Какъв е подходът 'релационен синтез'?";"Лекция 7: Теоретичен подход - спецификация на зависимостите, извод с аксиомите на Армстронг, синтезиране на универсална схема, декомпозиция до 3NF"
"Какъв е проблемът с релационния синтез?";"Лекция 7: Алгоритмите не могат да се прилагат автоматично"
"Какво е методология на проектирането?";"Лекция 7: Систематичният процес, обхващащ всички дейности свързани с проектирането на определена база от данни без оглед на модела на СУБД"
"Как се класифицират базите от данни според размера?";"Лекция 7: 1) Малки - до 25 обекта и до 20 потребители 2) Средни - около 30-40 обекта и до 100 потребители 3) Големи - над 40 различни обекта"
"Кои бази от данни се нуждаят от методология при проектирането?";"Лекция 7: Базите от данни от среден и голям размер"
"Защо се прилага методология при проектирането на базата?";"Лекция 7: През 70-те години организациите се ориентират към технологията 'бази от данни' при изграждането на информационните си системи"
"Какво е информационна система?";"Лекция 7: Множеството от взаимосвързани компоненти, които позволяват събиране, обработка, съхраняване и разпространение на информация за подпомагане на процеса на вземане на решения"
"Какви жизнени цикъла на системата съществуват?";"Лекция 7: 1) Макро жизнен цикъл - на информационната система като цяло 2) Микро жизнен цикъл - само на базата от данни"
"Какво включва фазата 'Реализация' в жизнения цикъл?";"Лекция 7: 1) Информационната система се реализира 2) Базата се зарежда с данни 3) Транзакциите се реализират и тестват"
"Какво включва фазата 'Валидиране и тестване'?";"Лекция 7: 1) Системата се валидира дали отговаря на спецификацията 2) Тества се производителността на системата"
"Какво включва фазата 'Експлоатация и съпровождане'?";"Лекция 7: 1) Данните се конвертират от съществуващите източници 2) Обучение на потребителите 3) Поддържане на системата 4) Следене на производителността 5) Настройване на базата"
"Какво включва фазата 'Дефиниране на системата'?";"Лекция 7: Дефиниране на обхвата на системата, потребителите и приложенията"
"Какво включва фазата 'Проектиране на базата'?";"Лекция 7: Концептуално, логическо и физическо проектиране на базата"
"Какво е процесът 'проектиране на бази от данни'?";"Лекция 7: Създаване на база, която да поддържа функционирането на организацията с оглед постигането на нейните цели"
"Какво е задачата при проектиране на бази от данни?";"Лекция 7: Да се проектира логическата и физическа структура на една или повече бази за удовлетворяване на информационните потребности в организацията"
"Какъв е резултатът от проектирането на базата?";"Лекция 7: Схема на базата от данни, която да не е необходимо да се модифицира след окончателната реализация"
"Какви са целите на проектирането на базата?";"Лекция 7: 1) Удовлетворяване на изискванията към съдържанието 2) Осигуряване на подходящо структуриране 3) Поддържане на изискванията към обработките и производителността"
"Какво е ФАЗА 1 при проектиране на базата?";"Лекция 7: Събиране и анализ на изискванията"
"Какво е събирането и анализът на изискванията?";"Лекция 7: Процес на идентификация и анализ на потребителските намерения"
"От какво се определят изискванията към базата от данни?";"Лекция 7: От новите и евентуално разработени вече потребителски приложения"
"Каква е целта на анализа на изискванията?";"Лекция 7: Разбиране на нуждите на потребителите на системата"
"Кой провежда анализа на изискванията?";"Лекция 7: Системни аналитици - интервюират потенциални потребители и изследват съществуващи документи"
"Какви дейности включва анализът на изискванията?";"Лекция 7: 1) Идентификация на потребителските групи 2) Преглед на съществуващи документи 3) Интервюиране/анкетиране на потребители 4) Анализ на оперативната среда"
"Какъв е резултатът от анализа на изискванията?";"Лекция 7: Описания на изискванията на естествен език - непълни, неточни и двусмислени"
"Какво е ФАЗА 2 при проектиране на базата?";"Лекция 7: Проектиране на концептуалната база от данни"
"Какво включва фаза 2А?";"Лекция 7: Проектиране на концептуалната схема - моделиране на данните с концептуални модели"
"Какво включва фаза 2В?";"Лекция 7: Проектиране на транзакциите - приложения, които се изпълняват върху готовата база"
"Какви са резултатите от фаза 2?";"Лекция 7: 1) Фаза 2А - концептуална схема в термините на концептуален модел 2) Фаза 2В - специфициране на транзакциите"
"Какво е ФАЗА 3 при проектиране на базата?";"Лекция 7: Избор на СУБД"
"От какво зависи изборът на СУБД?";"Лекция 7: От технически, икономически и организационни фактори"
"Какви технически фактори влияят на избора на СУБД?";"Лекция 7: 1) Тип на СУБД 2) Структури на съхранение 3) Архитектура"
"Какви икономически фактори влияят на избора на СУБД?";"Лекция 7: 1) Цена на продукта, обучение, поддържане 2) Цена на създаване на базата и конвертиране"
"Какви организационни фактори влияят на избора на СУБД?";"Лекция 7: 1) Организационна философия 2) Познания на персонала 3) Наличие на сервизни услуги"
"Какво е ФАЗА 4 при проектиране на базата?";"Лекция 7: Логическо проектиране"
"Какво се създава в ФАЗА 4?";"Лекция 7: Концептуална и външни схеми в термините модела на избраната СУБД чрез трансформиране на концептуалната схема"
"На колко етапа протича логическото проектиране?";"Лекция 7: На два етапа"
"Какви са двата етапа на логическото проектиране?";"Лекция 7: 1) Трансформиране на концептуалната схема в схема на релационна база 2) Отразяване на специфичните особености на избраната СУБД"
"Какъв е резултатът от фаза 4?";"Лекция 7: Описание на схемата на езика за дефиниране на данните на избраната СУБД"
"Какво се прави за силен тип обект при трансформиране от E-R към релационен модел?";"Лекция 7: Създава се схема R с колони простите атрибути на типа обект; при сложен атрибут се включват съставящите го прости компоненти"
"Какво се прави за слаб тип обект при трансформиране от E-R към релационен модел?";"Лекция 7: Създава се схема R, която включва всички атрибути на W и ключа на типа обект Е, който е чужд ключ"
"Какво се прави за двоична връзка 1:1 при трансформиране?";"Лекция 7: В едната от двете участвуващи схеми като чужд ключ се включва ключа на другата"
"Какво се прави за двоична връзка 1:N при трансформиране?";"Лекция 7: В схемата от страната на N се включва ключа на другата схема като чужд ключ"
"Какво се прави за двоична връзка M:N при трансформиране?";"Лекция 7: Създава се нова схема, която включва ключовете на двата обекта и собствените атрибути на връзката"
"Какво се прави за многостойностен атрибут при трансформиране?";"Лекция 7: Създава се нова схема"
"Какво се прави за връзка със степен по-висока от две при трансформиране?";"Лекция 7: Създава се нова схема, която включва ключовете на всички участвуващи обекти и собствените атрибути на връзката"
"Какви са трансформациите между E-R и релационния модел?";"Лекция 7: Тип обект → Отношение; Връзка 1:1 и 1:N → Чужд ключ; Връзка M:N → Отношение с два чужди ключа; Прост атрибут → Атрибут; Съставен атрибут → Множество от атрибути; Многостойностен атрибут → Отношение и чужд ключ; Ключов атрибут → Ключ"
"Какво е ФАЗА 5 при проектиране на базата?";"Лекция 7: Проектиране на физическата база"
"Какво е проектиране на физическата база?";"Лекция 7: Процес на избор на специфични структури на съхранение и пътища за достъп за файловете"
"Каква е целта на фаза 5?";"Лекция 7: Да се изберат най-удачните структури за файловете на базата на разработваното приложение"
"Какви критерии се използват при проектиране на физическата база?";"Лекция 7: 1) Време за отговор 2) Използвано пространство 3) Среден брой транзакции за минута"
"Какви дейности включва фаза 5?";"Лекция 7: 1) Анализ на транзакциите 2) Избор на файлови организации 3) Добавяне на вторични индекси 4) Прилагане на контролирано излишество 5) Оценяване на дисково пространство 6) Проектиране на механизми за защита"
"Какъв е резултатът от фаза 5?";"Лекция 7: Начално определяне на структурите за съхранение и пътищата за достъп"
"Какво е ФАЗА 6 при проектиране на базата?";"Лекция 7: Реализация и настройване на базата"
"Кой е отговорен за фаза 6?";"Лекция 7: АБД (Администраторът на Базата от Данни)"
"Какви са основните дейности във фаза 6?";"Лекция 7: 1) Създаване на празна база 2) Зареждане на базата с данни 3) Реализиране на транзакциите 4) Настройване на базата"
"Какво е настройване на базата (tuning)?";"Лекция 7: Процесът на промяна на първоначалния проект на физическата база с оглед постигането на по-добра производителност"
"Колко дълго продължава настройването на базата?";"Лекция 7: Докато тя е в употреба всеки път, когато възникнат проблеми с производителността"
"Какво включват приложенията?";"Лекция 7: Транзакции, приложни програми, потребителски интерфейс"
"С какво се реализират приложните програми?";"Лекция 7: С помощта на език от трето или четвърто ниво"
"Как се задават транзакциите към базата?";"Лекция 7: Чрез езика за обработване на данните на избраната СУБД"
"Какво означава администриране на данните?";"Лекция 7: Управлението им като организационен ресурс"
"Какво включва администрирането на данните?";"Лекция 7: Планиране на базата, разработване и поддържане на стандарти, политики и процедури, концептуално и логическо проектиране"
"Какви дейности включва администрирането на данните?";"Лекция 7: 1) Избор на производствени средства 2) Разработване на корпоративен модел 3) Определяне на организационни изисквания 4) Оценяване на обема на данните 5) Определяне на шаблони и честота 6) Концептуално и логическо проектиране 7) Управление на речника 8) Документация"
"Какво означава администриране на базата от данни?";"Лекция 7: Управлението на физическата реализация на информационните системи"
"Какво обхваща администрирането на базата?";"Лекция 7: Проектиране и реализация на физическата база, следене на производителността, реорганизация, защита"
"Какви дейности включва администрирането на базата?";"Лекция 7: 1) Оценяване и избор на СУБД 2) Проектиране на физическата база 3) Общуване с разработчици 4) Разработване на стратегии за тестване 5) Обучение на потребители 6) Периодично архивиране 7) Следене на производителността 8) Възстановяване 9) Обновяване на хардуер/софтуер"
"Какво улесняват CASE-tools?";"Лекция 7: 1) Създаване на диаграма на концептуалната схема 2) Преобразуване на концептуален модел в логически 3) Нормализация на данните 4) Индексиране на базата"
"Кой решава проблема за настройване на базата?";"Лекция 7: Администраторът на базата - няма автоматизиращи средства за това"
"Какво са CASE-tools?";"Лекция 7: Автоматизиращи средства за проектиране на бази от данни"
"Защо универсалната схема се декомпозира до 3NF?";"Лекция 7: За да се постигне добър проект на релационната база"
