"Въпрос";"Отговор"
"Каква е единствената и основна структура в релационния модел?";"Лекция 5: Отношението"
"Какво е релационна схема според дефиницията?";"Лекция 5: Множество от имена на атрибути"
"Какво е схема на базата от данни?";"Лекция 5: Съвкупност от релационни схеми"
"Какви са неформалните мерки на качеството при проектиране на релационни схеми?";"Лекция 5: 1) Семантика на атрибутите в отношението 2) Излишество в данните и аномалии при обновяване 3) Нулеви стойности в кортежите 4) Фалшиви кортежи"
"Какво гласи ПРАВИЛО 1 при проектиране на релационни схеми?";"Лекция 5: Проектирайте релационната схема, така че семантиката й да се обяснява лесно"
"Как се постига лесно обяснима семантика според правило 1?";"Лекция 5: Моделиране на обекти и връзки в различни отношения, представяне на единствен тип обект или връзка в едно отношение, използване на мнемонични имена"
"С какво са свързани аномалиите при обновяване?";"Лекция 5: С трите основни операции: въвеждане, изтриване и модифициране"
"Какви видове аномалии при обновяване има?";"Лекция 5: Аномалии при въвеждане, аномалии при изтриване и аномалии при модификации"
"Какво гласи ПРАВИЛО 2 при проектиране на релационни схеми?";"Лекция 5: Проектирайте схемата на отношението така, че да няма аномалии при обновяване"
"Кога възникват проблеми с нулеви стойности в кортежите?";"Лекция 5: Когато голяма част от атрибутите не се отнасят до всички кортежи и автоматично се запълват със стойността Null"
"При изпълнението на кои операции се създават проблеми от нулевите стойности?";"Лекция 5: При изпълнение на операцията 'съединение' и при прилагането на агрегатни функции"
"Какви са различните тълкувания на стойностите Null?";"Лекция 5: 1) Атрибутът е неприложим за конкретния кортеж 2) Не е известна стойността на атрибута 3) Стойността не е въведена"
"Какво гласи ПРАВИЛО 3 при проектиране на релационни схеми?";"Лекция 5: Да се избягва въвеждането на атрибути в релационната схема, чиито стойности са в голямата си част null"
"Какво води до фалшиви кортежи?";"Лекция 5: Лоши проекти на релационната база водят до грешни резултати при изпълнението на операцията 'съединение'"
"Как трябва да се проектират релационните схеми, за да се избегнат фалшиви кортежи?";"Лекция 5: Операцията 'естествено съединение' да се извършва само чрез условия за съединение между атрибути, които са главни или чужди ключове"
"Какво не бива да има в отделните схеми според правило 4?";"Лекция 5: Не бива да има еднакви атрибути, които не са ключове"
"Какво гласи ПРАВИЛО 4 при проектиране на релационни схеми?";"Лекция 5: Проектирайте схемите, така че при изпълнение на операцията 'съединение' да не се получават фалшиви кортежи"
"Какво описват функционалните зависимости?";"Лекция 5: Връзката между отделните атрибути в дадена релационна схема"
"Какви свойства имат функционалните зависимости?";"Лекция 5: 1) Използват се за задаването на формални мерки относно качеството на релационния проект 2) Използват се при дефинирането на основните нормални форми 3) Представляват ограничения, които се извеждат от значението и връзките между отделните атрибути"
"Откъде произлизат функционалните зависимости?";"Лекция 5: От значението на атрибутите в дадена схема"
"Кой дефинира функционалните зависимости?";"Лекция 5: Проектантът, в зависимост от неговото разбиране за смисъла на атрибутите в схемата"
"Валидни ли са функционалните зависимости за всички отношения?";"Лекция 5: Да, веднъж определени, те са валидни за всички отношения"
"Какво представляват функционалните зависимости за СУБД?";"Лекция 5: Ограничения за цялостност, които СУБД трябва автоматично да проверява за поддържането на непротиворечива база"
"Наличието на функционални зависимости е свойство на какво?";"Лекция 5: На релационната схема R, а не на определените от нея отношения"
"С какво се бележи множеството от функционални зависимости върху R?";"Лекция 5: С F"
"Как могат да се извеждат допълнителни функционални зависимости?";"Лекция 5: От вече определените, чрез аксиомите на Армстронг"
"Какво е процесът 'нормализация'?";"Лекция 5: Процес, при който неудовлетворителните релационни схеми се разлагат или декомпозират чрез разбиване на атрибутите и групирането им в по-малки релационни схеми с желани свойства"
"Каква е целта на нормализацията?";"Лекция 5: Добър проект на схемите, за да се избягнат аномалиите при обновяване и други нежелателни явления, а информацията да се запази"
"Как се провежда декомпозирането при нормализация?";"Лекция 5: Без загуба на атрибути"
"С коя операция от релационната алгебра е идентично декомпозирането?";"Лекция 5: С операцията 'проекция'"
"Какво означава 'запазване на информацията' при нормализация?";"Лекция 5: Възможност за обратно построяване на изходната схема чрез операцията 'съединение'"
"Какво представлява нормализацията като метод?";"Лекция 5: Формален метод за анализ на отношенията, който включва множество от правила"
"Какво са нормалните форми?";"Лекция 5: Условия, които дадена релационна схема трябва да удовлетворява"
"Кой е създателят на първите три нормални форми и кога?";"Лекция 5: Код през 1972 г."
"Как се означават първите три нормални форми?";"Лекция 5: 1NF, 2NF, 3NF"
"От кого е доразвита третата нормална форма?";"Лекция 5: От Бойс - нормална форма на Бойс-Код (3NFBC)"
"Какво използват всички нормални форми?";"Лекция 5: Понятията функционална зависимост между атрибутите и ключ"
"Какво гарантират нормалните форми 1NF, 2NF и 3NF?";"Лекция 5: Отсъствието на аномалии при обновяване"
"Какво използва четвъртата нормална форма?";"Лекция 5: Понятието многостойностни зависимости"
"Какво забранява четвъртата нормална форма?";"Лекция 5: Наличието на атрибути А, В и С, такива че за всяка стойност на А да съществуват множество от стойности на В и С, като тези множества не зависят едно от друго"
"Какво представляват многостойностните зависимости?";"Лекция 5: Обобщение на функционалните зависимости; всяка функционална зависимост е частен случай на многостойностна зависимост"
"Какво използва петата нормална форма?";"Лекция 5: Понятието 'зависимости по съединение'"
"Под какво друго име е известна петата нормална форма?";"Лекция 5: Нормална форма проекция-съединение (PJ/NF - projection-join normal form)"
"Какво гарантира петата нормална форма?";"Лекция 5: Проект на схемата, при който не могат да се генерират фалшиви кортежи"
"Какво е нормалната форма 'домейн-ключ' (DKNF)?";"Лекция 5: Нормална форма, която отчита всички видове зависимости и ограничения за цялостност"
"Коя нормална форма е по-рестриктивна - следващата или предхождащата?";"Лекция 5: Всяка следваща нормална форма е по-рестриктивна от предхождащите я"
"Кои нормални форми имат значение за практиката?";"Лекция 5: Първите три нормални форми"
"Гарантират ли нормалните форми добър проект на базата?";"Лекция 5: Не, разглеждани изолирано от други фактори не гарантират добър проект"
"Какво трябва да осигури процесът на нормализация освен проверка на нормални форми?";"Лекция 5: 1) Избягване на фалшиви кортежи 2) Съхранение на функционалните зависимости в някои от получените отношения"
"Какви са целите на процеса 'нормализация'?";"Лекция 5: 1) Елиминиране на излишеството в данните 2) Избягване на аномалии при обновяването 3) Създаване на проект, който отразява правилно предметната област 4) Опростена и автоматична проверка на ограниченията за цялостност"
"Какво налага първата нормална форма?";"Лекция 5: 1) Домейните включват само атомарни (неделими) стойности 2) Стойностите на всеки атрибут във всеки кортеж са неделими"
"Какво забранява първата нормална форма (1NF)?";"Лекция 5: Множество от стойности, редица от стойности и влагането на релации - т.е. многозначни и сложни атрибути"
"Какви стойности на атрибути позволява 1NF?";"Лекция 5: Единствено единични, неделими стойности; атрибутите в отношенията са прости"
"Защо се налага нормализиране на таблици от различни източници?";"Лекция 5: Данните са в табличен вид, но редовете или колоните не са изградени от неделими стойности и често се срещат повтарящи се групи"
"Какви са двата основни подхода за премахване на сложните атрибути?";"Лекция 5: 1) Повторение на данните (сплескване на таблицата) 2) Разлагане или декомпозиране"
"Какво е 'сплескване на таблицата' (flattening the table)?";"Лекция 5: Повтарящите се групи се елиминират чрез допълнително въвеждане на данни в празните колони или редове"
"Какво е недостатъкът на подхода 'повторение на данните'?";"Лекция 5: Получава се излишество в съхраняваните данни"
"Какво е релационната схема във втора нормална форма?";"Лекция 5: Когато всеки атрибут, който не участвува в главния ключ, е пълно функционално зависим от главния ключ"
"Какво е релационната схема в трета нормална форма?";"Лекция 5: Когато е във 2NF и никой от атрибутите, които не участват в главния ключ, не е транзитивно зависим от него"
"Какво означава първата нормална форма неформално?";"Лекция 5: Всички атрибути зависят от ключа"
"Какво означава втората нормална форма неформално?";"Лекция 5: Всички атрибути зависят от целия ключ"
"Какво означава третата нормална форма неформално?";"Лекция 5: Всички атрибути зависят само и единствено от ключа"
"Защо се скрива различната семантика на Null стойностите?";"Лекция 5: Представянето на стойностите Null еднотипно скрива различната им семантика"
"Какво позволява наличието на еднакви атрибути, които не са ключове?";"Лекция 5: Дефинирането на условие за съединение, в резултат на което се получават фалшиви кортежи"
"Защо е важно да се служат функционалните зависимости за описание на ограничения?";"Лекция 5: За да са в сила във всеки един момент, независимо от въвежданите данни"
"Кои функционални зависимости дефинира проектантът обикновено?";"Лекция 5: Онези, които са семантично очевидни"
"Защо е практически важно решаването на задачата за извеждане на допълнителни зависимости?";"Лекция 5: За да могат да се поддържат коректни данни в базата"
"Част от формалната дефиниция на какво е първата нормална форма?";"Лекция 5: На отношението"
"Какво се получава в резултат на подхода 'разлагане или декомпозиране'?";"Лекция 5: Получените таблици са в първа нормална форма"
"Защо не е достатъчно само да се провери дали схемата е в трета нормална форма?";"Лекция 5: Нормалните форми не гарантират добър проект без да се отчитат и други фактори"
"Какво трябва да е представено в някои от получените отношения след нормализацията?";"Лекция 5: Всички функционални зависимости"
"Какво означава 'мнемонични имена' според правило 1?";"Лекция 5: Подсещащи имена на атрибути и релационни схеми"
