"Въпрос";"Отговор"
"Какво е модел на данните?";"Лекция 2: Съвкупност от абстрактни понятия, чрез които се описв

ат свойствата на разработваното приложение"
"Какви свойства притежава всяко приложение?";"Лекция 2: Статични свойства, динамични свойства и ограничения за цялостност"
"Какво са статичните свойства на приложението?";"Лекция 2: Задават се чрез обекти със съответни атрибути, като се описват взаимодействията между тях"
"Какво са динамичните свойства на приложението?";"Лекция 2: Определят се от операциите върху обектите с техните атрибути и връзки между тях"
"Какво е моделиране на данните?";"Лекция 2: Процес, при който на всяко приложение се съпоставя представяне на свойствата и изискванията към обработките"
"За какво се използва моделът на данните?";"Лекция 2: За да се опише структурата на базата"
"Какви са компонентите на модела на данните?";"Лекция 2: 1) Понятия или конструкции (обект, запис, таблица) - описват структурата на базата от данни 2) Ограничения 3) Операции - описват обработките върху базата"
"Какво е схема на базата от данни?";"Лекция 2: Представя описание на базата от данни - структура, типове на данните, ограничения"
"Какво е състояние на базата от данни?";"Лекция 2: Конкретните данни в базата във всеки един момент от времето"
"Какво означава DDL?";"Лекция 2: Език за дефиниране на данните (Data Definition Language)"
"Какво означава DML?";"Лекция 2: Език за обработка на данните (Data Manipulation Language)"
"Какви езици осигурява всеки модел на данните?";"Лекция 2: Език за дефиниране на данните (DDL) и език за обработка на данните (DML)"
"Какви групи модели на данните има?";"Лекция 2: 1) Физически - вътрешни, примитивни 2) Класически - логически, имплементационни (йерархичен, мрежов, релационен) 3) Обектно-базирани - използват структури близки до потребителя 4) Самоописващи се - комбинират описанието на данните с техните стойности (XML, key-value, NoSQL)"
"Какво включват физическите модели?";"Лекция 2: Вътрешни, примитивни модели"
"Какво включват класическите модели?";"Лекция 2: Логически, имплементационни - йерархичен, мрежов, релационен"
"Какво включват обектно-базираните модели?";"Лекция 2: Модели, които използват структури интуитивно близко до потребителя - понятие-връзка, семантичен, функционален, обектно-ориентиран, обектно-релационен"
"Какво включват самоописващите се модели?";"Лекция 2: Модели, които комбинират описанието на данните с техните стойности - XML, key-value, NoSQL"
"Какво е концептуално моделиране?";"Лекция 2: Процес на изграждане на база от данни, независимо от начина на нейното реализиране"
"Каква е главната цел на подхода 'бази от данни'?";"Лекция 2: Разделяне на потребителските приложения от физическата база (независимост на данните)"
"Колко нива има архитектурата на СУБД?";"Лекция 2: Три нива"
"Какви са нивата на архитектурата на СУБД?";"Лекция 2: 1) Вътрешно - организирането на данните върху физическата среда 2) Концептуално - моделирането на данните като обекти и връзки 3) Външно - интерпретирането на данните от различни потребителски групи"
"Какво представлява вътрешното ниво на архитектурата?";"Лекция 2: Организирането на данните върху физическата среда за съхранение; физическо представяне на базата в компютъра"
"Какво описва вътрешното ниво?";"Лекция 2: Съхранението на базата"
"Какво представлява концептуалното ниво на архитектурата?";"Лекция 2: Моделирането на данните като типове обекти и връзки между тях; пълна схема на базата"
"Какво описва концептуалното ниво?";"Лекция 2: Какви данни се съхраняват в базата и взаимодействията между тях"
"Какво представлява външното ниво на архитектурата?";"Лекция 2: Интерпретирането на данните от различни потребителски групи; обхваща потребителските представи за базата"
"Какво описва външното ниво?";"Лекция 2: Частта от базата, с която работи даден потребител"
"Какви са целите на архитектурата на три нива?";"Лекция 2: 1) АБД трябва да може да променя структурата за съхранение без да влияе върху потребителските представи 2) Вътрешната структура не трябва да зависи от физическите характеристики на паметта 3) АБД трябва да може да променя концептуалната структура без да пречи на потребителите 4) Всички потребители достъпват еднакви данни 5) Отделната потребителска представа е защитена от промени в останалите представи 6) Потребителите не трябва да знаят как се съхраняват данните"
"Какво е независимост на данните?";"Лекция 2: Възможност да се променя схемата на едно ниво на системата, без това да налага промяна в схемите на останалите по-високи нива"
"Какви видове независимост на данните има?";"Лекция 2: 1) Логическа независимост - възможността да се променя концептуалната схема без промени във външната схема 2) Физическа независимост - възможността да се променя вътрешната схема без промени в концептуалната или външната схема"
"Каква е основната разлика между файлово-базираните системи и приложенията с бази от данни?";"Лекция 2: Независимостта на данните"
"Какво осигурява архитектурата на три нива?";"Лекция 2: 1) Достъп на всички потребители до едни и същи данни 2) Независимост на отделните потребителски представи една от друга 3) Защита на потребителите от грижи за физическата организация 4) Възможност на АБД да променя структурите без влияние върху потребителските представи"
"Какво е DDL (език за дефиниране на данните)?";"Лекция 2: Език на СУБД, който задава схемата на базата"
"Какво е DML (език за обработване на данните)?";"Лекция 2: Език на СУБД, чрез който се задават операциите върху данните"
"Какви видове DML има?";"Лекция 2: 1) Непроцедурен - самостоятелен или вграден в език за програмиране (например SQL) 2) Процедурен - винаги се вграждат в език за програмиране"
"Кой е пример за интегриран език в СУБД?";"Лекция 2: SQL"
"Какво са езици от четвърто ниво?";"Лекция 2: 4GL - езици за работа с бази от данни"
"Какви програмни интерфейси за СУБД има?";"Лекция 2: 1) Вграждане на езика (SQLJ) 2) Извикване на процедури (JDBC, ODBC) 3) Език за програмиране в базата (PL/SQL)"
"Какво е SQLJ?";"Лекция 2: Пример за вграждане на езика за обработка на базата в Java"
"Какво са JDBC и ODBC?";"Лекция 2: Примери за извикване на процедури като програмен интерфейс към СУБД"
"Какво е PL/SQL?";"Лекция 2: Език за програмиране в базата данни"
"Какви са потребителски 'дружелюбните' интерфейси?";"Лекция 2: 1) Използващи меню за обхождане в web пространството 2) Използващи форми 3) Графични 4) На естествен език 5) Комбинации"
"Какви други типове интерфейси има освен стандартните?";"Лекция 2: От мобилно устройство, реч, web браузър"
"Какви функции изпълняват помощните средства?";"Лекция 2: 1) Зареждане на базата с данни от файлове 2) Back up 3) Реорганизиране структурата на файловете 4) Генериране на отчети 5) Следене на производителността 6) Компресиране на данните 7) Организиране на речник от данните"
"Изброй примери за среди за разработване на приложения";"Лекция 2: PowerBuilder (Sybase), JBuilder (Embaracadero Technologies), JDeveloper 11G (Oracle)"
"Какви са функциите на СУБД?";"Лекция 2: 1) Съхраняване, извличане, обновяване на данните 2) Поддържане на достъпен каталог 3) Управление на транзакции 4) Управление на едновременния достъп 5) Възстановяване на базата 6) Управление на правата за достъп 7) Осигуряване независимост на данните 8) Поддържане на връзка с данните 9) Проверка на ограниченията за цялостност 10) Предоставяне на помощни услуги"
"Какво представлява каталогът?";"Лекция 2: Хранилище, в което се описват данните в базата"
"Каталогът е основен компонент на какво?";"Лекция 2: Основен компонент на СУБД"
"Какво се съхранява в каталога?";"Лекция 2: 1) Име, тип и размер на полетата 2) Ограничения върху данните 3) Имена на потребителите с достъп 4) Статистика за използване 5) Тип на достъп до полетата"
"По какво може да се класифицират СУБД?";"Лекция 2: По модел на данните, по брой потребители, по начин на достъп"
"Какви legacy модели има?";"Лекция 2: Йерархични, мрежови"
"Какви модели се използват в момента?";"Лекция 2: Релационни, обектно-релационни, обектно-ориентирани"
"Какви са последните технологии за СУБД?";"Лекция 2: Key-value, document-based, graph-based, native XML DBMSs"
"По брой потребители какви видове СУБД има?";"Лекция 2: Еднопотребителски и многопотребителски"
"По начин на достъп какви видове СУБД има?";"Лекция 2: Централизирани и разпределени"
"Изброй примери за безплатни СУБД с отворен код";"Лекция 2: PostgreSQL, MySQL"
"Каква е цената на търговските СУБД?";"Лекция 2: Хиляди долари"
"Коя е първата СУБД и кога е реализирана?";"Лекция 2: IDS System от Honeywell през 1964-65"
"Какво е CODASYL?";"Лекция 2: Conference on Data Systems Languages - разработил стандарт на мрежовия модел през 1971"
"Изброй системи, които реализират мрежовия модел";"Лекция 2: IDMS (Cullinet/Computer Associates), DMS 1100 (Unisys), IMAGE (H.P.), VAX-DBMS (Digital/COMPAQ/H.P.)"
"Какви са преимуществата на мрежовия модел?";"Лекция 2: Могат да се моделират сложни връзки; езикът позволява навигация по базата (FIND, FIND member, FIND owner, GET)"
"Какви са недостатъците на мрежовия модел?";"Лекция 2: Базата се обработва чрез програми; структурите за съхранение участват при моделирането; достъпът се усъществява чрез множество указатели"
"Изброй команди за навигация в мрежовия модел";"Лекция 2: FIND, FIND member, FIND owner, FIND NEXT within set, GET"
"Кога и от кого е реализиран йерархичният модел?";"Лекция 2: Около 1965 от IBM и North American Rockwell - резултат IMS"
"Каква е най-известната система с йерархичен модел?";"Лекция 2: IMS (използвана широко по света)"
"Изброй системи с йерархичен модел";"Лекция 2: IMS (IBM и North American Rockwell), System 2k (SAS inc.)"
"Какви са преимуществата на йерархичния модел?";"Лекция 2: Лесно се представят йерархично организирани данни; някои задачи се реализират ефективно"
"Какви са недостатъците на йерархичния модел?";"Лекция 2: Обработките стават чрез навигация; трудно приложим за нейерархични връзки; езикът е процедурен (GET, GET UNIQUE, GET NEXT)"
"Изброй команди в йерархичния модел";"Лекция 2: GET, GET UNIQUE, GET NEXT, GET NEXT WITHIN PARENT"
"Кога и от кого е предложен релационният модел?";"Лекция 2: През 1970 от E.F. Codd (IBM)"
"Кога се появяват първите търговски релационни системи?";"Лекция 2: В началото на 80-те години"
"Изброй търговски релационни СУБД";"Лекция 2: DB2, ORACLE, MS SQL Server, SYBASE, INFORMIX"
"Изброй релационни СУБД с отворен код";"Лекция 2: MySQL, PostgreSQL"
"Изброй стандарти за SQL";"Лекция 2: SQL-86, SQL-89 (SQL1), SQL-92 (SQL2), SQL-99, SQL:2003, SQL:2006, SQL-2008, SQL:2011"
"Какво позволява обектно-ориентираният модел?";"Лекция 2: Използването на базите с обектно-ориентирани езици за програмиране; съхраняването на постоянни обекти"
"С кои езици работи обектно-ориентираният модел?";"Лекция 2: C++ (например OBJECTSTORE, VERSANT) и Smalltalk (например GEMSTONE)"
"Изброй експериментални ОО СУБД";"Лекция 2: O2, ORION, IRIS"
"Какви стандарти има за обектни бази?";"Лекция 2: ODMG-93, ODMG-version 2.0, ODMG-version 3.0"
"Какво е обектно-релационният модел?";"Лекция 2: Разширява релационния модел с понятията от обектно-ориентираните бази от данни"
"Изброй примери за обектно-релационни СУБД";"Лекция 2: Oracle-11G, DB2, SQL Server"
"Какви стандарти има за обектно-релационния модел?";"Лекция 2: SQL-99, SQL-2008"
"Каква е тенденцията при обектно-релационните модели?";"Лекция 2: Разширяване на релационните СУБД с възможности да обработват XML"
"Защо терминът 'обектно-релационен модел' се използва по-рядко?";"Лекция 2: Той все по-рядко се използва на пазара (интегриран в стандартните релационни системи)"
"Какво означава АБД?";"Лекция 2: Администратор на Базата от Данни"
"Защо е важно моделирането на данните?";"Лекция 2: Позволява структурирано описание на приложението и неговите изисквания преди реализацията"
"Защо схемата е важна концепция?";"Лекция 2: Описва структурата, типовете данни и ограниченията на базата, независимо от конкретните данни"
"Каква е разликата между схема и състояние на БД?";"Лекция 2: Схемата е описанието на структурата, докато състоянието са конкретните данни в даден момент"
"Защо концептуалното моделиране е независимо?";"Лекция 2: То е независимо от начина на реализиране на базата данни"
"Защо е важна независимостта на вътрешната структура от физическите характеристики?";"Лекция 2: Позволява промяна на хардуер без промяна в логиката на базата"
"Защо всички потребители трябва да достъпват еднакви данни?";"Лекция 2: За да се осигури консистентност и отсъствие на противоречия"
"Защо потребителите не трябва да знаят за физическото съхранение?";"Лекция 2: Осигурява абстракция и независимост от имплементационни детайли"
