"Въпрос";"Отговор"
"Какво е управление на данни?";"Лекция 1: Прилага информационните технологии, за да преобразува огромните масиви с данни в смислена информация"
"Какво представляват данните според дефиницията?";"Лекция 1: Регистрирани факти за събития, процеси, операции"
"Какво представлява информацията според дефиницията?";"Лекция 1: Резултат от обработването на данните"
"Каква е разликата между данни и информация?";"Лекция 1: Данни са регистрирани факти за събития, процеси, операции. Информация е резултат от обработването на данните"
"Какво е символ в йерархията на данните?";"Лекция 1: Най-малката единица в йерархията на данните"
"Какво е поле в йерархията на данните?";"Лекция 1: Втората по размер единица в йерархията, която се състои от символи"
"Какво е запис в йерархията на данните?";"Лекция 1: Единица, която се състои от полета и е третата по размер в йерархията"
"Какво е файл в йерархията на данните?";"Лекция 1: Най-голямата единица в йерархията на данните, която се състои от записи"
"Изброй йерархията на данните от най-малката към най-голямата единица";"Лекция 1: Символ → Поле → Запис → Файл"
"Колко нива има йерархията на данните?";"Лекция 1: Четири нива - символ, поле, запис, файл"
"Какво е база от данни според основната дефиниция?";"Лекция 1: Множество свързани данни, групирани за нуждите на потребителя"
"Какво означава, че данните в БД са устойчиви/интегрирани?";"Лекция 1: Това е първото свойство на понятието база от данни - данните са постоянни и обединени"
"Какво включва предметната област на БД?";"Лекция 1: Обекти, атрибути и връзки"
"Защо базите от данни се проектират с определена цел?";"Лекция 1: Това е едно от основните свойства на понятието база от данни - те се създават за конкретни бизнес нужди"
"Какви са свойствата на понятието 'база от данни'?";"Лекция 1: 1) Устойчиви/интегрирани данни 2) Предметна област - обекти, атрибути и връзки 3) Базите се проектират с определена цел"
"Кои са двата основни подхода за управление на данните?";"Лекция 1: 1) Традиционен подход - с файлове 2) Подход 'бази от данни'"
"Какво представлява традиционният файлов подход?";"Лекция 1: Множество от приложни програми, които доставят определени услуги на крайния потребител. Първи опит за автоматизиране на определени бизнес дейности"
"Какви са характеристиките на традиционния файлов подход?";"Лекция 1: 1) За всяко приложение се създават отделни файлове 2) Всеки потребител организира информацията в собствени файлове 3) Дефиницията на данните е част от приложната програма"
"Какво е предимството на традиционния файлов подход?";"Лекция 1: Лесно прилагане без особени допълнителни средства"
"Какви са недостатъците на традиционния файлов подход?";"Лекция 1: 1) Излишество при съхраняване 2) Нарушаване на цялостността 3) Зависимост между данни и програми 4) Работа с фиксирани заявки 5) Несъвместими файлови формати"
"Как се съхраняват данните в подхода 'бази от данни'?";"Лекция 1: Данните, свързани с дейността се съхраняват на едно място"
"Как се управляват данните в подхода 'бази от данни'?";"Лекция 1: Управлението им се осъществява чрез софтуер - Система за Управление на Бази от Данни (СУБД)"
"Какво означава съкращението СУБД?";"Лекция 1: Система за Управление на Бази от Данни"
"Какво е СУБД според пълната дефиниция?";"Лекция 1: Съвкупност от програми, които позволяват на потребителя да създава, обработва, поддържа и управлява достъпа до бази от данни"
"Какво е приложение от тип 'база от данни'?";"Лекция 1: Програма, която взаимодейства с базата чрез заявки към СУБД"
"На какви категории се разделят продуктите СУБД?";"Лекция 1: Търговски и с отворен код"
"Какви са характеристиките на подхода 'бази от данни'?";"Лекция 1: 1) Контрол на излишеството 2) Каталог 3) Моделиране на данните 4) Ограничение за цялостност 5) Независимост между данни и програми 6) Потребителски представи 7) Споделяне на данните 8) Управление на правата за достъп 9) Възстановяване на данните 10) Интерфейси за потребители с различни умения 11) Налагане на стандарти"
"Какво представлява каталогът в контекста на СУБД?";"Лекция 1: Една от характеристиките на подхода 'бази от данни', която съхранява метаданни за структурата на базата"
"Какво е независимост между данни и програми?";"Лекция 1: Възможност да се променя структурата на данните без да се променят програмите, които ги използват"
"Какво означава контрол на излишеството?";"Лекция 1: Характеристика на СУБД, която предотвратява ненужно дублиране на данни"
"Какви са преимуществата на подхода 'бази от данни'?";"Лекция 1: 1) Споделяне на данните между много потребители 2) Обработване на транзакции 3) Управление на едновременния достъп 4) Поддържане на ограничения за цялостност 5) Защита на базата 6) Независимост на данните"
"Какви са недостатъците на подхода 'бази от данни'?";"Лекция 1: 1) Допълнителни инвестиции - високи цени на софтуер и хардуер 2) Възможност за проекти с лошо качество 3) Моделът налага точно определени структури 4) Скъпо конвертиране на съществуващи приложения 5) Възможно забавяне заради множество системни функции"
"Защо допълнителните инвестиции са недостатък на подхода с БД?";"Лекция 1: Поради високите цени на софтуера и необходимостта от допълнителен хардуер"
"Защо може да се получи забавяне при използване на СУБД?";"Лекция 1: Поради изпълнението на множество системни функции като защита, паралелен достъп и проверка на ограниченията"
"Какви типове потребители на бази от данни има?";"Лекция 1: 1) Администратори 2) Проектанти 3) Системни аналитици 4) Приложни програмисти 5) Крайни потребители"
"Какво е характерно за потребителите на БД?";"Лекция 1: Те имат различни умения и изисквания"
"Кога е периодът на първото поколение бази от данни?";"Лекция 1: От средата на 60-те до края на 70-те години"
"Какви типове БД са от първо поколение?";"Лекция 1: Йерархични и мрежови"
"Кога са се появили йерархичните и мрежовите БД?";"Лекция 1: През първото поколение - от средата на 60-те до края на 70-те години"
"Какъв тип БД са от второ поколение?";"Лекция 1: Релационни"
"Кои БД са от трето поколение?";"Лекция 1: Обектно-ориентирани и обектно-релационни"
"Изброй всички поколения бази от данни с техните типове";"Лекция 1: Първо поколение (средата на 60-те до края на 70-те) - йерархични и мрежови; Второ поколение - релационни; Трето поколение - обектно-ориентирани и обектно-релационни"
